scope,language_group,target,pairs,resolved_rate_v2,resolved_rate_v3,delta
language_group+target,english,Synovitis,1724,0.17865429234338748,0.17865429234338748,0.0
language_group+target,french,ACL,80,0.7,0.7125,0.012500000000000067
language_group+target,french,Baker's,80,0.9875,0.9875,0.0
language_group+target,french,Contusion,80,0.0875,0.0875,0.0
language_group+target,french,Effusion,80,0.9875,0.9875,0.0
language_group+target,french,Fracture,80,0.425,0.4375,0.012500000000000011
language_group+target,french,Lateral Meniscus,80,0.8125,0.8625,0.050000000000000044
language_group+target,french,Lateral OA,80,0.1625,0.1625,0.0
language_group+target,french,MCL,80,0.475,0.7625,0.2875
language_group+target,french,Medial Meniscus,80,0.775,0.825,0.04999999999999993
language_group+target,french,Medial OA,80,0.2125,0.2,-0.012499999999999983
language_group+target,french,PF OA,80,0.3375,0.2875,-0.050000000000000044
language_group+target,french,Synovitis,80,0.1125,0.1125,0.0
language_group+target,german,ACL,259,0.5984555984555985,0.5984555984555985,0.0
language_group+target,german,Baker's,259,0.2702702702702703,0.2702702702702703,0.0
language_group+target,german,Contusion,259,0.2857142857142857,0.2857142857142857,0.0
language_group+target,german,Effusion,259,0.61003861003861,0.6138996138996139,0.0038610038610038533
language_group+target,german,Fracture,259,0.15444015444015444,0.19305019305019305,0.038610038610038616
language_group+target,german,Lateral Meniscus,259,0.5598455598455598,0.6293436293436293,0.06949806949806947
language_group+target,german,Lateral OA,259,0.27413127413127414,0.11196911196911197,-0.16216216216216217
language_group+target,german,MCL,259,0.5173745173745173,0.5173745173745173,0.0
language_group+target,german,Medial Meniscus,259,0.44015444015444016,0.5675675675675675,0.12741312741312738
language_group+target,german,Medial OA,259,0.2625482625482625,0.12355212355212356,-0.13899613899613897
language_group+target,german,PF OA,259,0.3667953667953668,0.5096525096525096,0.14285714285714285
language_group+target,german,Synovitis,259,0.015444015444015444,0.05405405405405406,0.038610038610038616
language_group+target,greek_script,ACL,321,0.4423676012461059,0.4485981308411215,0.006230529595015577
language_group+target,greek_script,Baker's,321,0.32398753894080995,0.32710280373831774,0.0031152647975077885
language_group+target,greek_script,Contusion,321,0.11214953271028037,0.16199376947040497,0.0498442367601246
language_group+target,greek_script,Effusion,321,0.7445482866043613,0.778816199376947,0.034267912772585674
language_group+target,greek_script,Fracture,321,0.14018691588785046,0.14018691588785046,0.0
language_group+target,greek_script,Lateral Meniscus,321,0.38317757009345793,0.40186915887850466,0.01869158878504673
language_group+target,greek_script,Lateral OA,321,0.14018691588785046,0.12461059190031153,-0.015576323987538929
language_group+target,greek_script,MCL,321,0.411214953271028,0.4174454828660436,0.006230529595015577
language_group+target,greek_script,Medial Meniscus,321,0.5420560747663551,0.5607476635514018,0.01869158878504673
